agencyId,color,description,routeId,longName,shortName,textColor,type,url
74,,Alberdi - Rigloes - Polledo - Santa Cruz - Bº Marina: a Alberdi - Riglos - Polledo - Santa Cruz,74_1598,JNAMBA172,172A,,3,
74,,Alberdi - Rigloes - Polledo - Santa Cruz - Bº Marina: a B° Marina,74_1597,JNAMBA172,172A,,3,
74,,Bº Bid - Atalaya: a B° Bid,74_1196,JMLMTZ624,624C,,3,
74,,Bº Bid - Atalaya: a Atalaya,74_1195,JMLMTZ624,624C,,3,
74,,Cement. de Villegas - Bº Central x Mocoreta: a Cement. de Villegas x Mocoreta,74_1194,JMLMTZ624,624B,,3,
74,,Cement. de Villegas - Bº Central x Mocoreta: a B° Central x Mocoreta,74_1193,JMLMTZ624,624B,,3,
74,,Cement. de Villegas - Est. Ramos Mejia x Leon Gallo: a Cement. de Villegas x Leon Gallo,74_1192,JMLMTZ624,624A,,3,
74,,Cement. de Villegas - Est. Ramos Mejia x Leon Gallo: a Est. Ramos Mejia x Leon Gallo,74_1191,JMLMTZ624,624A,,3,
74,,Los Pinos - Ramos Mejia: a Ramos Mejia,74_1199,JMLMTZ624,624E,,3,
74,,La Tablada - Los Pinos: a La Tablada,74_1198,JMLMTZ624,624D,,3,
74,,La Tablada - Los Pinos: a Los Pinos,74_1197,JMLMTZ624,624D,,3,
74,,Alberdi y Rigloes - Polledo y Santa Cruz Bº Ingeniero: a Alberdi y Riglos,74_1600,JNAMBA172,172B,,3,
74,,Los Pinos - Ramos Mejia: a Los Pinos,74_1200,JMLMTZ624,624E,,3,
75,,Av. Hudson y Rio Diamante - Av. Calchaqui y Galarza: a Complejo Santa Rosa,75_1363,JMFVAR505,505D,,3,
75,,Av. Hudson y Rio Diamante - Av. Calchaqui y Galarza: a Htal. El Cruce,75_1362,JMFVAR505,505D,,3,
75,,C Verde - Varela por Pte.Gerli y H.Yrigoyen: C Verde - VUELTA,75_1885,JNAMBA178,178A,,3,
75,,C Verde - Varela por Pte.Gerli y H.Yrigoyen: C Verde - IDA,75_1884,JNAMBA178,178A,,3,
75,,Nueva Pompeya - Est. Zeballos x Crisologo Larralde: a Nueva Pompeya x Larralde,75_1893,JNAMBA178,178E,,3,
75,,Nueva Pompeya - Est. Zeballos x Crisologo Larralde: a Est. Zeballos x Larralde,75_1892,JNAMBA178,178E,,3,
75,,B - Zeballos por Mitre: B - VUELTA,75_1891,JNAMBA178,178D,,3,
75,,B - Zeballos por Mitre: B - IDA,75_1890,JNAMBA178,178D,,3,
75,,G - Zeballos por Larralde: G - VUELTA,75_1889,JNAMBA178,178C,,3,
75,,G - Zeballos por Larralde: G - IDA,75_1888,JNAMBA178,178C,,3,
75,,C Roja - Varela por Pte.Gerli y Senzabello: C Roja - VUELTA,75_1887,JNAMBA178,178B,,3,
75,,C Roja - Varela por Pte.Gerli y Senzabello: C Roja - IDA,75_1886,JNAMBA178,178B,,3,
76,,x 155 - Correo Central - González Catán: x 155 - VUELTA,76_1899,JNAMBA180,180A,,3,
76,,x 155 - Correo Central - González Catán: x 155 - IDA,76_1898,JNAMBA180,180A,,3,
76,,Pra. Junta - González Catán x Bº San Alberto: a Pra. Junta,76_1903,JNAMBA180,180C,,3,
76,,Pra. Junta - González Catán x Bº San Alberto: a González Catán x B° San Alberto,76_1902,JNAMBA180,180C,,3,
76,,Pra. Junta - González Catán x Laferrere: a Pra. Junta,76_1901,JNAMBA180,180B,,3,
76,,Pra. Junta - González Catán x Laferrere: a González Catán x Laferrere,76_1900,JNAMBA180,180B,,3,
76,,Mataderos - González Catán x Laferrere: a Mataderos,76_1907,JNAMBA180,180E,,3,
